#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000002	1993-09-02	1993.670090	1992.523428	1994.871775
NODE_0000706	1995-04-09	1995.269891	1994.203510	1996.414968
AY426499	1999-02-24	1999.148000	1999.148000	1999.806769
NODE_0000703	1996-04-17	1996.293221	1995.242436	1997.375436
NODE_0000704	2017-09-01	2017.666000	2017.490676	2017.666000
MH250144	2017-09-01	2017.666000	2017.666000	2017.666000
MH250142	2017-09-01	2017.666000	2017.666000	2017.666000
MH250143	2017-09-01	2017.666000	2017.666000	2017.666000
NODE_0000702	1998-10-31	1998.831977	1998.007708	1999.688486
JX101802	2000-07-03	2000.505000	2000.505000	2000.579000
NODE_0000380	1999-05-01	1999.329616	1998.565953	2000.168725
NODE_0000381	2000-02-24	2000.148064	1999.419527	2001.038962
NODE_0000013	2000-08-25	2000.649480	2000.045524	2001.268431
JF830023	2001-11-16	2001.874000	2001.874000	2001.874000
NODE_0000017	2000-12-26	2000.984584	2000.297558	2001.541420
MN240501	2003-12-30	2003.997000	2003.449559	2003.997000
NODE_0000018	2001-10-07	2001.767000	2001.309541	2001.767000
JF830022	2001-10-07	2001.767000	2001.767000	2001.767000
JF830024	2001-12-06	2001.929000	2001.929000	2001.929000
NODE_0000385	2000-07-04	2000.505837	1999.847337	2001.312679
NODE_0000386	2001-01-28	2001.076330	2000.508972	2001.743873
NODE_0000387	2003-01-01	2003.000834	2002.650098	2003.570009
AY426500	2003-01-20	2003.053312	2003.000000	2003.997000
MN240499	2003-07-12	2003.527713	2003.000000	2003.997000
NODE_0000388	2001-05-01	2001.328991	2000.807022	2001.916216
NODE_0000389	2001-11-03	2001.840658	2001.269207	2002.425715
AB667896	2006-01-01	2006.000000	2006.000000	2006.759251
NODE_0000390	2003-09-01	2003.666000	2003.424365	2003.666000
JF830025	2003-09-01	2003.666000	2003.666000	2003.666000
JF830026	2003-10-14	2003.784000	2003.784000	2003.784000
NODE_0000391	2001-08-04	2001.590748	2001.066131	2002.134464
MN240510	2003-03-08	2003.181000	2003.181000	2003.823009
NODE_0000392	2002-01-22	2002.059986	2001.515007	2002.610415
JF830029	2006-10-24	2006.811000	2006.811000	2006.811000
NODE_0000393	2002-12-06	2002.931100	2002.278983	2003.412961
MK216564	2005-10-01	2005.748000	2005.748000	2005.814158
KP137815	2005-09-14	2005.704000	2005.704000	2005.704000
NODE_0000394	2003-08-26	2003.651049	2002.679567	2004.852304
NODE_0000395	2007-12-23	2007.975871	2006.891732	2009.257123
KP455248	2012-12-30	2012.997000	2012.273130	2012.997000
NODE_0000396	2008-09-13	2008.701460	2007.754577	2009.815270
NODE_0000397	2009-02-21	2009.141407	2008.237720	2010.134405
NODE_0000398	2014-06-16	2014.457301	2014.020374	2014.652000
LN874222	2014-08-01	2014.581000	2014.581000	2014.653977
NODE_0000025	2014-08-04	2014.591254	2014.307585	2014.652000
LN681322	2014-09-29	2014.745000	2014.674848	2014.745000
KP728259	2014-08-26	2014.652000	2014.652000	2014.652000
NODE_0000400	2012-10-18	2012.795458	2012.147161	2013.411081
NODE_0000401	2014-11-16	2014.876665	2014.289802	2015.140000
MK989723	2015-07-17	2015.542000	2015.542000	2015.542000
MK989726	2015-02-21	2015.140000	2015.140000	2015.140000
NODE_0000402	2013-01-20	2013.054189	2012.481369	2013.575793
MK989725	2015-04-17	2015.293000	2015.293000	2015.293000
NODE_0000403	2013-06-14	2013.450815	2012.917445	2013.873421
MH674114	2014-09-08	2014.685000	2014.685000	2014.685000
MK989724	2015-03-12	2015.192000	2015.192000	2015.192000
NODE_0000404	2012-03-18	2012.212398	2011.451361	2013.026988
NODE_0000405	2012-09-06	2012.682324	2012.063149	2013.330901
LN681339	2014-09-01	2014.666000	2014.666000	2014.736827
NODE_0000406	2013-01-09	2013.024034	2012.499293	2013.562986
KT220447	2014-11-29	2014.910000	2014.910000	2014.910000
NODE_0000407	2013-05-18	2013.377549	2012.929146	2013.826074
NODE_0000408	2014-10-30	2014.830000	2014.602756	2014.830000
MH885649	2014-11-07	2014.852000	2014.852000	2014.852000
MH885650	2014-10-30	2014.830000	2014.830000	2014.830000
MH885648	2014-10-30	2014.830000	2014.830000	2014.830000
NODE_0000410	2013-08-05	2013.592392	2013.200150	2013.965078
NODE_0000411	2014-09-06	2014.681286	2014.382190	2014.751000
KP455258	2014-10-01	2014.750624	2014.677000	2014.964000
KP657740	2014-10-02	2014.751000	2014.751000	2014.751000
NODE_0000412	2013-10-11	2013.776190	2013.433334	2014.107106
KP830120	2014-10-09	2014.770000	2014.770000	2014.770000
NODE_0000045	2014-01-26	2014.069500	2013.608355	2014.524582
MH885647	2014-10-09	2014.770000	2014.770000	2014.770000
NODE_0000046	2014-04-08	2014.266584	2013.933425	2014.547927
NODE_0000050	2014-05-24	2014.394219	2014.100798	2014.606091
MH885646	2014-10-06	2014.764000	2014.764000	2014.764000
